Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,stat_inf_class,eigencentrality
ariwasono8303,ariwasono8303,1,0,1,0,0,0,0,83,80,0.002837
m.ikhsanakmal2085,m.ikhsanakmal2085,14,1,15,0,0,0,0,188,262,0.06245
daniday1574,daniday1574,0,1,1,1,1,1,0,188,262,0
khalidpotter,khalidpotter,1,7,8,2,0.818182,0.888889,0.000001,188,262,0.002837
shasuke9shasuke928,shasuke9shasuke928,1,2,3,1,1,1,0,188,262,0.003875
khalidpotterjgn,khalidpotterjgn,1,0,1,0,0,0,0,188,262,0.004064
BlackVold,BlackVold,0,1,1,1,1,1,0,188,262,0
MbrewWew,MbrewWew,0,2,2,1,1,1,0,188,262,0
khalidpotterhah,khalidpotterhah,1,0,1,0,0,0,0,188,262,0.002837
bursazr2650,bursazr2650,0,1,1,1,1,1,0,188,262,0
sugarrif469,sugarrif469,0,2,2,3,0.5,0.566667,0,188,262,0
shasuke9shasuke928MALAK,shasuke9shasuke928MALAK,1,0,1,0,0,0,0,188,262,0.003875
sugarrif469KAMU,sugarrif469KAMU,1,0,1,0,0,0,0,188,262,0.003875
marcen8919,marcen8919,1,3,4,1,1,1,0,188,276,0.002837
blizzard19,blizzard19,0,2,2,1,1,1,0,188,262,0
khalidpotterini,khalidpotterini,1,0,1,0,0,0,0,188,262,0.002837
rickybosko7156,rickybosko7156,1,2,3,1,1,1,0,188,262,0.002837
khalidpotterna,khalidpotterna,1,0,1,0,0,0,0,188,262,0.003875
rickybosko7156DARI,rickybosko7156DARI,1,0,1,0,0,0,0,188,262,0.003875
marcen8919BELA,marcen8919BELA,1,0,1,0,0,0,0,188,262,0.003875
sykesrasx9997,sykesrasx9997,0,2,2,1,1,1,0,188,262,0
khalidpotterBuzzer,khalidpotterBuzzer,1,0,1,0,0,0,0,188,262,0.002837
andrianiambyah9525,andrianiambyah9525,0,3,3,2,0.8,0.875,0,188,262,0
sykesrasx9997nah,sykesrasx9997nah,1,0,1,0,0,0,0,188,262,0.002837
tauva33,tauva33,0,1,1,1,1,1,0,188,262,0
KANGHAPUNG20,KANGHAPUNG20,1,1,2,0,0,0,0,189,174,0.004088
zendawn3256,zendawn3256,1,1,2,1,1,1,0,64,276,0.002837
muhizrida,muhizrida,48,0,48,0,0,0,0,64,276,0.147713
sitagitha2050,sitagitha2050,0,2,2,1,1,1,0,64,276,0
zendawn3256mereka,zendawn3256mereka,4,0,4,0,0,0,0,64,276,0.011348
onkie15,onkie15,0,1,1,1,1,1,0,64,276,0
fahmialamsyah4743,fahmialamsyah4743,0,2,2,2,0.666667,0.75,0,64,276,0
nove2555,nove2555,0,2,2,1,1,1,0,64,276,0
Metaldar404-e8t,Metaldar404-e8t,0,1,1,1,1,1,0,64,276,0
HendraJoko-o6u,HendraJoko-o6u,1,1,2,1,1,1,0,64,276,0.002837
Zulkifly-i9k,Zulkifly-i9k,0,1,1,1,1,1,0,64,276,0
Edi.Junaedi,Edi.Junaedi,0,1,1,1,1,1,0,64,276,0
alfaomega25,alfaomega25,0,1,1,1,1,1,0,64,276,0
andikapamungkas9994,andikapamungkas9994,0,2,2,1,1,1,0,64,276,0
HendraJoko-o6uga,HendraJoko-o6uga,1,0,1,0,0,0,0,64,276,0.002837
PecelKacang-f5s,PecelKacang-f5s,0,1,1,1,1,1,0,64,276,0
GegelomanBro,GegelomanBro,0,1,1,1,1,1,0,64,276,0
stellasetiadi2530,stellasetiadi2530,0,1,1,1,1,1,0,64,276,0
ekawirasentana1215,ekawirasentana1215,0,1,1,1,1,1,0,64,276,0
laluukir9133,laluukir9133,2,1,3,1,1,1,0,64,276,0.008445
syahrimuharrami,syahrimuharrami,0,1,1,1,1,1,0,64,276,0
PriaKharismatik,PriaKharismatik,0,2,2,1,1,1,0,64,276,0
onkie15dia,onkie15dia,2,0,2,0,0,0,0,64,276,0.005674
haryudhasantoso1245,haryudhasantoso1245,0,1,1,1,1,1,0,64,276,0
sambas5137,sambas5137,0,2,2,1,1,1,0,64,276,0
elinsuherlin3706,elinsuherlin3706,0,1,1,1,1,1,0,64,276,0
zhuvidoanliwiarta,zhuvidoanliwiarta,0,2,2,1,1,1,0,64,276,0
purwati.,purwati.,1,1,2,1,1,1,0,64,276,0.002837
M4nford,M4nford,0,2,2,1,1,1,0,64,276,0
zendawn3256faktanya,zendawn3256faktanya,1,0,1,0,0,0,0,64,276,0.002837
AnipEdwar,AnipEdwar,0,2,2,1,1,1,0,64,276,0
lvqmxn,lvqmxn,0,1,1,1,1,1,0,64,276,0
hdyttv250,hdyttv250,0,1,1,1,1,1,0,64,276,0
Manusia02252,Manusia02252,0,1,1,1,1,1,0,64,276,0
myname-jj9oi,myname-jj9oi,0,1,1,1,1,1,0,64,276,0
mda549,mda549,0,1,1,1,1,1,0,64,276,0
chun8579,chun8579,0,2,2,1,1,1,0,64,276,0
ThubaMubasyirAdzkiya,ThubaMubasyirAdzkiya,0,2,2,1,1,1,0,64,276,0
PecelKacang-f5sPerwakilan,PecelKacang-f5sPerwakilan,1,0,1,0,0,0,0,64,276,0.002837
scarlet6736,scarlet6736,0,2,2,1,1,1,0,64,276,0
zendawn3256mana,zendawn3256mana,1,0,1,0,0,0,0,64,276,0.002837
zendawn3256DPR,zendawn3256DPR,1,0,1,0,0,0,0,64,276,0.002837
arthuriski,arthuriski,0,1,1,1,1,1,0,64,276,0
amsirnoormitchel,amsirnoormitchel,0,1,1,1,1,1,0,64,276,0
madamuwaffaq7483,madamuwaffaq7483,0,2,2,1,1,1,0,64,276,0
ichigo-mysic,ichigo-mysic,0,3,3,1,1,1,0,64,276,0
zendawn3256di,zendawn3256di,1,0,1,0,0,0,0,64,276,0.002837
HendraJoko-o6uiya,HendraJoko-o6uiya,1,0,1,0,0,0,0,64,276,0.002837
ayukurniasih751,ayukurniasih751,0,2,2,1,1,1,0,64,276,0
AlanArdiansyah-u4j,AlanArdiansyah-u4j,0,2,2,1,1,1,0,64,276,0
zendawn3256nah,zendawn3256nah,1,0,1,0,0,0,0,64,276,0.002837
masrazulty5079,masrazulty5079,0,2,2,1,1,1,0,64,276,0
rostinwasa,rostinwasa,0,2,2,1,1,1,0,64,276,0
zendawn3256klw,zendawn3256klw,1,0,1,0,0,0,0,64,276,0.002837
newgate744,newgate744,0,1,1,1,1,1,0,190,175,0
Hasbi7402,Hasbi7402,1,0,1,0,0,0,0,190,175,0.002837
awanberlari,awanberlari,0,1,1,1,1,1,0,191,176,0
AffanWars,AffanWars,1,0,1,0,0,0,0,191,176,0.002837
toxiczone.2733,toxiczone.2733,0,1,1,2,0.666667,0.75,0,188,262,0
iwanirawan2084,iwanirawan2084,3,2,5,1,1,1,0,188,262,0.013515
khalidpotterbisa,khalidpotterbisa,1,0,1,0,0,0,0,188,262,0.006803
chairuddinfahmi5797,chairuddinfahmi5797,0,1,1,1,1,1,0,192,177,0
PandapotanPurba-u4u,PandapotanPurba-u4u,1,0,1,0,0,0,0,192,177,0.002837
wx8pj8tu9h,wx8pj8tu9h,1,1,2,1,1,1,0,193,178,0.005608
Abundanceme-o2q,Abundanceme-o2q,2,2,4,1,1,1,0,193,178,0.009938
ensteinmandarin1331,ensteinmandarin1331,0,1,1,2,0.666667,0.75,0,194,179,0
videogilang3931,videogilang3931,2,2,4,1,1,1,0,194,179,0.008176
