Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,stat_inf_class,eigencentrality
Knowledge9s,Knowledge9s,0,2,2,2,0.666667,0.75,0,10,10,0
apocalypsekutuura4021,apocalypsekutuura4021,2,2,4,1,1,1,0,10,10,0.008176
Knowledge9sShe,Knowledge9sShe,1,0,1,0,0,0,0,10,10,0.005339
AWEMBAWE,AWEMBAWE,1,1,2,1,1,1,0,0,1,0.002837
Purnomojokk,Purnomojokk,2,0,2,0,0,0,0,0,1,0.006713
sukinemsukinem477,sukinemsukinem477,0,4,4,1,1,1,0,0,1,0
PaijoedanYT,PaijoedanYT,0,1,1,1,1,1,0,1,0,0
Andoel-g4h,Andoel-g4h,2,1,3,0,0,0,0,1,0,0.008176
Selasarobbykamis,Selasarobbykamis,1,0,1,0,0,0,0,0,1,0.002837
RockySmash-l2n,RockySmash-l2n,1,0,1,0,0,0,0,0,1,0.002837
DnD_91,DnD_91,1,2,3,1,1,1,0,2,2,0.002837
FimalMalfie,FimalMalfie,1,0,1,0,0,0,0,2,2,0.003875
ghanyTech,ghanyTech,2,0,2,0,0,0,0,2,2,0.006713
MrMann-1M,MrMann-1M,0,2,2,2,0.75,0.833333,0,2,2,0
Vaanzzzz-z,Vaanzzzz-z,0,4,4,2,0.75,0.833333,0,3,3,0
cr_one416,cr_one416,3,3,6,1,1,1,0,3,3,0.012264
jgsatru,jgsatru,0,1,1,2,0.6,0.666667,0,3,3,0
Vaanzzzz-zbukannya,Vaanzzzz-zbukannya,1,0,1,0,0,0,0,3,3,0.00659
jgsatruklo,jgsatruklo,1,0,1,0,0,0,0,3,3,0.00659
Netizencritics,Netizencritics,0,1,1,1,1,1,0,3,3,0
MuhamadNarno-c1j,MuhamadNarno-c1j,2,0,2,0,0,0,0,3,3,0.005674
tukangmendem-w4o,tukangmendem-w4o,1,0,1,0,0,0,0,3,3,0.002837
DedeRohmat-qf7um,DedeRohmat-qf7um,1,0,1,0,0,0,0,3,3,0.002837
LudovicoEuinaudi,LudovicoEuinaudi,0,2,2,2,0.666667,0.75,0,4,4,0
nindyabay,nindyabay,2,3,5,1,1,1,0,4,4,0.008176
LudovicoEuinaudiSalah,LudovicoEuinaudiSalah,1,0,1,0,0,0,0,4,4,0.005339
nindyabayhaaa,nindyabayhaaa,1,0,1,0,0,0,0,4,4,0.002837
LudovicoEuinaudiFerry,LudovicoEuinaudiFerry,1,0,1,0,0,0,0,4,4,0.005339
Shafira-n9y,Shafira-n9y,0,3,3,2,0.636364,0.714286,0,5,5,0
jonamboy9357,jonamboy9357,1,0,1,0,0,0,0,5,5,0.002837
yoedsnugraha265,yoedsnugraha265,0,4,4,2,0.666667,0.75,0,5,5,0
supriyadialif7301,supriyadialif7301,9,5,14,1,1,1,0.000003,5,5,0.041528
yoedsnugraha265lah,yoedsnugraha265lah,1,0,1,0,0,0,0,5,5,0.002837
marthenpadanglomo3757,marthenpadanglomo3757,0,2,2,2,0.583333,0.642857,0,5,5,0
boyujang8537,boyujang8537,1,2,3,2,0.6,0.666667,0,5,5,0.002837
marthenpadanglomo3757emang,marthenpadanglomo3757emang,1,0,1,0,0,0,0,5,5,0.003875
boyujang8537keturunan,boyujang8537keturunan,1,0,1,0,0,0,0,5,5,0.01477
marthenpadanglomo3757berkedok,marthenpadanglomo3757berkedok,1,0,1,0,0,0,0,5,5,0.01477
marthenpadanglomo3757monyet,marthenpadanglomo3757monyet,1,0,1,0,0,0,0,5,5,0.002837
marthenpadanglomo3757kau,marthenpadanglomo3757kau,1,0,1,0,0,0,0,5,5,0.002837
apriliandyy,apriliandyy,0,3,3,2,0.636364,0.714286,0,5,5,0
lilihmuslih8788,lilihmuslih8788,2,0,2,0,0,0,0,5,5,0.005674
donebossboss737,donebossboss737,1,0,1,0,0,0,0,5,5,0.002837
BerlianKerasDariMorioh,BerlianKerasDariMorioh,1,1,2,2,0.571429,0.625,0,5,5,0.01477
tp44-b5v,tp44-b5v,0,1,1,1,1,1,0,6,6,0
choongchoong4338,choongchoong4338,1,0,1,0,0,0,0,6,6,0.002837
regamara5448,regamara5448,0,5,5,2,0.692308,0.777778,0,5,5,0
JNabila-i1j,JNabila-i1j,1,0,1,0,0,0,0,5,5,0.002837
Xxx1818-r5t,Xxx1818-r5t,1,0,1,0,0,0,0,5,5,0.002837
dianindri4825,dianindri4825,1,0,1,0,0,0,0,5,5,0.002837
ryanaja-h9b,ryanaja-h9b,1,0,1,0,0,0,0,5,5,0.002837
Asplanned69,Asplanned69,0,1,1,2,0.555556,0.6,0,5,5,0
Asplanned69akun,Asplanned69akun,1,0,1,0,0,0,0,5,5,0.01477
royong7906,royong7906,0,2,2,2,0.75,0.833333,0,7,7,0
rajata_mahendra,rajata_mahendra,2,0,2,0,0,0,0,7,7,0.006713
gudangfilm7867,gudangfilm7867,1,2,3,1,1,1,0,7,7,0.002837
royong7906nte,royong7906nte,1,0,1,0,0,0,0,7,7,0.003875
calvfinka,calvfinka,0,1,1,1,1,1,0,8,8,0
muhamadsafii7952,muhamadsafii7952,1,0,1,0,0,0,0,8,8,0.002837
Pak_Ahmad,Pak_Ahmad,0,4,4,2,0.75,0.833333,0,14,11,0
GarudaNKRI-z7y,GarudaNKRI-z7y,1,0,1,0,0,0,0,14,11,0.002837
habibfitra7207,habibfitra7207,1,2,3,1,1,1,0,9,9,0.005608
yoyoksuroso-b9r,yoyoksuroso-b9r,1,0,1,0,0,0,0,9,9,0.00433
DenaRudiana-z8p,DenaRudiana-z8p,2,2,4,2,0.666667,0.75,0,9,9,0.009938
muafa1499,muafa1499,1,3,4,1,1,1,0,299,276,0.005608
jdhaoapfufuend,jdhaoapfufuend,2,2,4,2,0.6,0.666667,0,299,276,0.009938
eoreh,eoreh,0,2,2,3,0.4,0.483333,0,85,276,0
Jegukneo,Jegukneo,1,0,1,0,0,0,0,85,276,0.002837
UcokAlok-o7v,UcokAlok-o7v,0,1,1,2,0.666667,0.75,0,131,276,0
ferryirwandi,ferryirwandi,7,1,8,1,1,1,0.000001,131,276,0.020898
mahakachannel65,mahakachannel65,2,2,4,1,1,1,0,10,10,0.008176
Knowledge9sapa,Knowledge9sapa,1,0,1,0,0,0,0,10,10,0.005339
Idontknowanythung,Idontknowanythung,2,14,16,2,0.818182,0.888889,0.000004,14,11,0.00866
doankzadule8335,doankzadule8335,3,0,3,0,0,0,0,14,11,0.011067
sakti3901,sakti3901,0,3,3,3,0.487179,0.54386,0,14,11,0
SukaAnimeOnePiece,SukaAnimeOnePiece,0,2,2,1,1,1,0,14,11,0
phaphahebalova5995,phaphahebalova5995,2,0,2,0,0,0,0,14,11,0.00823
WawanSaputra-f4y,WawanSaputra-f4y,1,0,1,0,0,0,0,14,11,0.005393
togogmahesa617,togogmahesa617,1,0,1,0,0,0,0,14,11,0.005393
imanuelnully5886,imanuelnully5886,1,0,1,0,0,0,0,14,11,0.005393
panembahansenopati4722,panembahansenopati4722,3,3,6,1,1,1,0.000001,14,11,0.015305
Idontknowanythungbuzzer,Idontknowanythungbuzzer,1,0,1,0,0,0,0,14,11,0.007074
panembahansenopati4722siapayg,panembahansenopati4722siapayg,1,0,1,0,0,0,0,14,11,0.002837
Pak_Ahmadsi,Pak_Ahmadsi,1,0,1,0,0,0,0,14,11,0.007074
AC_COMUNITY,AC_COMUNITY,0,1,1,1,1,1,0,11,12,0
AdhiKaryo-p1b,AdhiKaryo-p1b,1,0,1,0,0,0,0,11,12,0.002837
ButterYyot,ButterYyot,0,1,1,1,1,1,0,12,13,0
AdifSetiawan-q7b,AdifSetiawan-q7b,1,0,1,0,0,0,0,12,13,0.002837
TheOffizier,TheOffizier,0,3,3,2,0.8,0.875,0,14,11,0
Djinggo-o2u,Djinggo-o2u,4,0,4,0,0,0,0,14,11,0.013905
unibakwan-c8d,unibakwan-c8d,1,0,1,0,0,0,0,14,11,0.005393
lambokuye2450,lambokuye2450,1,1,2,0,0,0,0,13,14,0.004088
hantagamer0799,hantagamer0799,2,2,4,3,0.461538,0.490741,0,14,11,0.011217
yoyokdwi7953,yoyokdwi7953,2,1,3,2,0.666667,0.75,0,14,11,0.011706
RohaMarbun,RohaMarbun,4,3,7,1,1,1,0.000001,14,11,0.022977
yoyokdwi7953Nye,yoyokdwi7953Nye,1,0,1,0,0,0,0,14,11,0.005393
RohaMarbunNye,RohaMarbunNye,1,0,1,0,0,0,0,14,11,0.005393
IdontknowanythungApaan,IdontknowanythungApaan,1,0,1,0,0,0,0,14,11,0.008869
chokysmithx,chokysmithx,1,0,1,0,0,0,0,14,11,0.005393
peckynoel9645,peckynoel9645,1,0,1,0,0,0,0,14,11,0.005393
PERSIB_ANJING_APBN_FC,PERSIB_ANJING_APBN_FC,0,2,2,2,0.75,0.833333,0,15,15,0
dharmasatya3265,dharmasatya3265,2,2,4,1,1,1,0,15,15,0.008176
PERSIB_ANJING_APBN_FCya,PERSIB_ANJING_APBN_FCya,1,0,1,0,0,0,0,15,15,0.005339
Adnz7237,Adnz7237,1,0,1,0,0,0,0,15,15,0.002837
eternal_night212,eternal_night212,1,2,3,1,1,1,0,17,16,0.005608
mastekno-2,mastekno-2,2,2,4,2,0.666667,0.75,0,17,16,0.009938
buyaumma,buyaumma,0,2,2,1,1,1,0,16,58,0
MuhaiminSag,MuhaiminSag,2,0,2,0,0,0,0,16,58,0.005674
ZN4sution,ZN4sution,0,1,1,1,1,1,0,16,58,0
stanleydominix,stanleydominix,1,0,1,0,0,0,0,17,16,0.00433
RioRiop,RioRiop,0,1,1,1,1,1,0,18,17,0
AprilApril-o7f,AprilApril-o7f,1,0,1,0,0,0,0,18,17,0.002837
LempasLempus,LempasLempus,0,1,1,1,1,1,0,19,18,0
michael_official-y6t,michael_official-y6t,1,0,1,0,0,0,0,19,18,0.002837
andikaprayogi6541,andikaprayogi6541,0,2,2,2,0.75,0.833333,0,22,20,0
ufauuch9419,ufauuch9419,2,2,4,1,1,1,0,22,20,0.008176
andikaprayogi6541mending,andikaprayogi6541mending,1,0,1,0,0,0,0,22,20,0.005339
rizalzepri,rizalzepri,0,1,1,1,1,1,0,20,19,0
Bababubu774,Bababubu774,1,0,1,0,0,0,0,20,19,0.002837
slukman4261,slukman4261,0,1,1,1,1,1,0,21,233,0
Ferry,Ferry,4,0,4,0,0,0,0,21,233,0.012599
zleinade,zleinade,2,0,2,0,0,0,0,22,20,0.005674
ClickBanget,ClickBanget,0,2,2,1,1,1,0,22,20,0
andikaprayogi6541emang,andikaprayogi6541emang,1,0,1,0,0,0,0,22,20,0.002837
ridwanridwan2656,ridwanridwan2656,0,2,2,3,0.545455,0.638889,0,131,276,0
Awesome-and-treesome,Awesome-and-treesome,2,5,7,2,0.833333,0.9,0,131,276,0.008176
ridwanridwan2656SANGAT,ridwanridwan2656SANGAT,1,0,1,0,0,0,0,131,276,0.005339
mamameowbali,mamameowbali,0,16,16,3,0.534247,0.65812,0,24,276,0
1nsanewayn3,1nsanewayn3,1,2,3,1,1,1,0,24,276,0.002837
nazwachanel1867,nazwachanel1867,1,0,1,0,0,0,0,24,276,0.002837
adeharlianpratama6854,adeharlianpratama6854,1,0,1,0,0,0,0,24,276,0.002837
AbuDaba-j2i,AbuDaba-j2i,1,0,1,0,0,0,0,24,276,0.002837
ivansolo9311,ivansolo9311,0,1,1,1,1,1,0,23,21,0
iOS_Enthusiast,iOS_Enthusiast,2,0,2,0,0,0,0,23,21,0.005674
mthoifaf,mthoifaf,0,2,2,1,1,1,0,23,21,0
ivansolo9311maklum,ivansolo9311maklum,1,0,1,0,0,0,0,23,21,0.002837
nashibashi5786,nashibashi5786,2,7,9,2,0.733333,0.818182,0.000003,24,276,0.012854
biily138,biily138,3,0,3,0,0,0,0,24,276,0.011749
H1MIZU,H1MIZU,0,3,3,3,0.545455,0.611111,0,24,276,0
mahatidanaputra6809,mahatidanaputra6809,0,1,1,3,0.384615,0.433333,0,24,276,0
SelfGrowth393,SelfGrowth393,2,2,4,2,0.5625,0.611111,0.000002,24,276,0.005674
T.Abadi1899,T.Abadi1899,1,0,1,0,0,0,0,24,276,0.006075
achmadyani5690,achmadyani5690,2,1,3,1,1,1,0,24,276,0.008912
DeviSopiandi-i7q,DeviSopiandi-i7q,1,0,1,0,0,0,0,24,276,0.006075
17nurhidayat,17nurhidayat,5,5,10,3,0.578947,0.666667,0.000002,24,276,0.026803
sogoals1929,sogoals1929,3,0,3,0,0,0,0,24,276,0.012788
nashibashi5786ANJING,nashibashi5786ANJING,1,0,1,0,0,0,0,24,276,0.003875
harismoedjeni3145,harismoedjeni3145,1,0,1,0,0,0,0,24,276,0.002837
galangpw2617,galangpw2617,1,1,2,4,0.37931,0.431818,0,24,276,0.010017
mamameowbaliOk,mamameowbaliOk,1,0,1,0,0,0,0,24,276,0.010017
JPCustomer,JPCustomer,1,0,1,0,0,0,0,24,276,0.006075
M.mahdii-k,M.mahdii-k,1,0,1,0,0,0,0,24,276,0.002837
WijangWahyudi,WijangWahyudi,0,1,1,1,1,1,0,25,22,0
imgoneforevernow,imgoneforevernow,1,0,1,0,0,0,0,25,22,0.002837
eb1504,eb1504,1,10,11,5,0.378049,0.549462,0.000007,80,276,0.006886
vainloriusgaming2872,vainloriusgaming2872,1,0,1,0,0,0,0,80,276,0.004545
diananggoromukti1490,diananggoromukti1490,2,1,3,0,0,0,0,80,276,0.010181
verifizasi,verifizasi,3,2,5,1,1,1,0.000002,80,276,0.022707
ilhamrj2599,ilhamrj2599,3,7,10,3,0.512195,0.619048,0.000027,80,276,0.035301
ilhamrj2599akun2,ilhamrj2599akun2,1,0,1,0,0,0,0,80,276,0.00803
kanglieur3459,kanglieur3459,3,3,6,1,1,1,0.000004,80,276,0.022707
ilhamrj2599nah,ilhamrj2599nah,1,0,1,0,0,0,0,80,276,0.00803
eb1504byk,eb1504byk,1,0,1,0,0,0,0,80,276,0.00803
TutikDjanah,TutikDjanah,0,9,9,2,0.909091,0.95,0,110,276,0
gabehutagalung3165,gabehutagalung3165,1,0,1,0,0,0,0,110,276,0.002837
kleberson777,kleberson777,1,1,2,1,1,1,0,26,23,0.005608
autorename,autorename,2,2,4,1,1,1,0,26,23,0.009938
kalizoldyck,kalizoldyck,1,10,11,2,0.678571,0.763158,0.000004,247,276,0.005389
ronggosukmowijoyo7034,ronggosukmowijoyo7034,3,0,3,0,0,0,0,247,276,0.009979
VJ.155,VJ.155,0,3,3,1,1,1,0,247,276,0
kalizoldyckemang,kalizoldyckemang,1,0,1,0,0,0,0,247,276,0.002837
FRHN-is4xw,FRHN-is4xw,0,2,2,2,0.75,0.833333,0,247,276,0
nyamuk9446,nyamuk9446,1,1,2,0,0,0,0,27,24,0.004088
AndhikaSeptianT,AndhikaSeptianT,0,3,3,3,0.514286,0.564815,0,293,276,0
aisyahhumaira5081,aisyahhumaira5081,1,0,1,0,0,0,0,293,276,0.002837
TubagusHaryono,TubagusHaryono,1,0,1,0,0,0,0,80,276,0.004545
Locky1406,Locky1406,1,3,4,1,1,1,0.000001,80,276,0.004545
rickylee5015,rickylee5015,0,1,1,1,1,1,0,80,276,0
masterrbaiterr,masterrbaiterr,2,0,2,0,0,0,0,80,276,0.007382
firmanhelian9980,firmanhelian9980,3,3,6,4,0.355932,0.420635,0.000007,80,276,0.022707
benisurya1140,benisurya1140,1,3,4,2,0.714286,0.8,0,95,276,0.002837
mukhlisraditya6225,mukhlisraditya6225,4,0,4,0,0,0,0,95,276,0.012387
hendratrisna9083,hendratrisna9083,0,1,1,1,1,1,0,95,276,0
widtaninmas,widtaninmas,0,2,2,3,0.5,0.611111,0,95,276,0
bintangarmstrong224,bintangarmstrong224,0,2,2,1,1,1,0,95,276,0
miumiumiu-v3s,miumiumiu-v3s,1,1,2,2,0.666667,0.75,0,28,25,0.005608
semsatria5578,semsatria5578,2,3,5,1,1,1,0,28,25,0.009938
miumiumiu-v3skita,miumiumiu-v3skita,1,0,1,0,0,0,0,28,25,0.005608
woles_project9122,woles_project9122,2,1,3,0,0,0,0,80,276,0.010181
Enohx01,Enohx01,0,8,8,2,0.785714,0.863636,0,30,276,0
joejordy7711,joejordy7711,2,3,5,1,1,1,0,30,276,0.008176
Enohx01udh,Enohx01udh,1,0,1,0,0,0,0,30,276,0.005339
AdrianLesmana-i1i,AdrianLesmana-i1i,1,2,3,1,1,1,0,30,276,0.002837
Abdulmassoudhassani,Abdulmassoudhassani,0,10,10,2,0.708333,0.794118,0,30,276,0
AttarHalilintar-gr1hw,AttarHalilintar-gr1hw,1,0,1,0,0,0,0,30,276,0.002837
SenjaRiani-q9z,SenjaRiani-q9z,0,1,1,2,0.666667,0.75,0,29,26,0
bolangpantura,bolangpantura,2,2,4,1,1,1,0,29,26,0.008176
SenjaRiani-q9zlogika,SenjaRiani-q9zlogika,1,0,1,0,0,0,0,29,26,0.005339
siputgilagila,siputgilagila,0,3,3,1,1,1,0,30,276,0
i.m-done,i.m-done,3,0,3,0,0,0,0,30,276,0.008511
saifulzaz,saifulzaz,0,2,2,1,1,1,0,30,276,0
siputgilagilabiarin,siputgilagilabiarin,2,0,2,0,0,0,0,30,276,0.005674
oktass6548,oktass6548,0,1,1,1,1,1,0,30,276,0
jandrylolong8437,jandrylolong8437,2,0,2,0,0,0,0,30,276,0.005674
sultanjawa17,sultanjawa17,2,0,2,0,0,0,0,30,276,0.005674
RDN0606,RDN0606,0,4,4,1,1,1,0,30,276,0
brandenoctavino4295,brandenoctavino4295,1,0,1,0,0,0,0,30,276,0.002837
rahmatagung600,rahmatagung600,2,0,2,0,0,0,0,30,276,0.005674
Enohx01udah,Enohx01udah,1,0,1,0,0,0,0,30,276,0.002837
SpirtusCodm,SpirtusCodm,1,0,1,0,0,0,0,30,276,0.002837
baimbaim6464,baimbaim6464,2,0,2,0,0,0,0,30,276,0.005674
marcelfauzah,marcelfauzah,2,2,4,1,1,1,0,30,276,0.008176
XFT-o1cok,XFT-o1cok,1,0,1,0,0,0,0,30,276,0.005339
SujendrooOktaa,SujendrooOktaa,0,1,1,1,1,1,0,31,27,0
kanaya-e5t,kanaya-e5t,1,0,1,0,0,0,0,31,27,0.002837
brilliandchannel3930,brilliandchannel3930,1,0,1,0,0,0,0,30,276,0.002837
smilefromtheheartoriginal,smilefromtheheartoriginal,0,5,5,1,1,1,0,30,276,0
gracebarn430,gracebarn430,2,0,2,0,0,0,0,30,276,0.005674
HendieHendrianto,HendieHendrianto,1,0,1,0,0,0,0,30,276,0.002837
abduljalil-qy9fq,abduljalil-qy9fq,1,0,1,0,0,0,0,30,276,0.002837
faridwidyafrisma5798,faridwidyafrisma5798,1,0,1,0,0,0,0,30,276,0.002837
Basyariyyah,Basyariyyah,2,0,2,0,0,0,0,30,276,0.005674
narrastories,narrastories,1,0,1,0,0,0,0,30,276,0.002837
thewind3240,thewind3240,0,1,1,1,1,1,0,32,28,0
pemikirbesar,pemikirbesar,1,0,1,0,0,0,0,32,28,0.002837
Scarlettfangs,Scarlettfangs,0,2,2,1,1,1,0,30,276,0
SyifaMarfuah,SyifaMarfuah,1,0,1,0,0,0,0,30,276,0.002837
nadhifmusyafa1275,nadhifmusyafa1275,0,1,1,2,0.538462,0.571429,0,185,276,0
Kepalapundaklututkaki,Kepalapundaklututkaki,3,6,9,1,1,1,0.000002,185,276,0.008511
nadhifmusyafa1275komen,nadhifmusyafa1275komen,1,0,1,0,0,0,0,30,276,0.002837
subektisetya,subektisetya,0,3,3,3,0.583333,0.690476,0,233,276,0
arolsy,arolsy,1,2,3,2,0.75,0.833333,0,233,276,0.002837
mizrachayit,mizrachayit,2,0,2,0,0,0,0,30,276,0.005674
PondikKurnia,PondikKurnia,0,1,1,2,0.666667,0.75,0,33,29,0
andhisofyan9499,andhisofyan9499,3,2,5,1,1,1,0,33,29,0.012264
PondikKurniajujur,PondikKurniajujur,1,0,1,0,0,0,0,33,29,0.00659
Kurtet_jametreog,Kurtet_jametreog,0,1,1,2,0.666667,0.75,0,33,29,0
Kosongsuakosonglima5,Kosongsuakosonglima5,0,1,1,1,1,1,0,34,30,0
pedulikucing-v3.1,pedulikucing-v3.1,1,0,1,0,0,0,0,34,30,0.002837
dennyputra-s2q,dennyputra-s2q,0,3,3,1,1,1,0,95,276,0
airmoneyandchair,airmoneyandchair,2,0,2,0,0,0,0,95,276,0.005674
arfafadilah.m,arfafadilah.m,0,1,1,1,1,1,0,35,31,0
iandonovann6807,iandonovann6807,1,0,1,0,0,0,0,35,31,0.002837
abamduda6801,abamduda6801,0,1,1,1,1,1,0,36,32,0
jarwo7704,jarwo7704,1,0,1,0,0,0,0,36,32,0.002837
purpurblock7770,purpurblock7770,0,5,5,3,0.545455,0.62037,0,95,276,0
Al-yi7jl,Al-yi7jl,1,3,4,2,0.714286,0.8,0.000001,95,276,0.002837
BasriLana,BasriLana,0,3,3,3,0.55,0.621212,0,131,276,0
MataMataRakyat734,MataMataRakyat734,3,2,5,1,1,1,0,131,276,0.012264
abdulsomad-ii5vg,abdulsomad-ii5vg,0,1,1,2,0.666667,0.75,0,131,276,0
BasriLanaya,BasriLanaya,1,0,1,0,0,0,0,131,276,0.00659
p34c3b3up0n,p34c3b3up0n,1,1,2,0,0,0,0,37,33,0.004088
topanhaikylabelaha8012,topanhaikylabelaha8012,0,3,3,2,0.8,0.875,0,38,276,0
voidless_xx,voidless_xx,2,0,2,0,0,0,0,38,276,0.005674
nagaijo7262,nagaijo7262,0,1,1,1,1,1,0,38,276,0
Realme-xe8ms,Realme-xe8ms,0,1,1,1,1,1,0,39,34,0
pft2000,pft2000,1,0,1,0,0,0,0,39,34,0.002837
Layq_wxe,Layq_wxe,0,1,1,1,1,1,0,40,35,0
OmZull-md4iq,OmZull-md4iq,1,0,1,0,0,0,0,40,35,0.002837
menotfunnyclips8982,menotfunnyclips8982,0,1,1,1,1,1,0,41,36,0
paradisealamin8497,paradisealamin8497,1,0,1,0,0,0,0,41,36,0.002837
hi.feneta,hi.feneta,0,1,1,1,1,1,0,42,37,0
FerryIrwandi,FerryIrwandi,2,0,2,0,0,0,0,42,37,0.005674
ichsann0248,ichsann0248,0,1,1,1,1,1,0,43,38,0
kemedjuara9773,kemedjuara9773,1,0,1,0,0,0,0,43,38,0.002837
agussururi1195,agussururi1195,1,1,2,0,0,0,0,44,39,0.004088
aas529,aas529,0,1,1,2,0.666667,0.75,0,45,40,0
D4NEE-d8r,D4NEE-d8r,2,2,4,1,1,1,0,45,40,0.008176
aas529g,aas529g,1,0,1,0,0,0,0,45,40,0.005339
fahrifz1882,fahrifz1882,0,1,1,1,1,1,0,46,41,0
danny20433,danny20433,1,0,1,0,0,0,0,46,41,0.002837
adityakbar,adityakbar,1,2,3,5,0.28,0.345238,0.000002,80,276,0.00804
beekribo,beekribo,1,0,1,0,0,0,0,80,276,0.004662
ucokbaba-z9n,ucokbaba-z9n,3,3,6,4,0.368421,0.43254,0.000006,80,276,0.022834
gilangramadhan9614,gilangramadhan9614,0,1,1,1,1,1,0,72,276,0
musthofaking4431,musthofaking4431,3,0,3,0,0,0,0,72,276,0.010004
LLLLlll__0000,LLLLlll__0000,1,8,9,2,0.75,0.833333,0.000001,72,276,0.005608
umarsyaefulloh1767,umarsyaefulloh1767,0,3,3,1,1,1,0,72,276,0
maiaAnticka,maiaAnticka,0,1,1,1,1,1,0,47,42,0
imamgozali7071,imamgozali7071,1,0,1,0,0,0,0,47,42,0.002837
aaznurfauziah2410,aaznurfauziah2410,1,1,2,0,0,0,0,48,43,0.004088
amrienazar1186,amrienazar1186,0,4,4,1,1,1,0,308,276,0
dedeyusuf88,dedeyusuf88,1,0,1,0,0,0,0,308,276,0.002837
69aqjgmw5,69aqjgmw5,0,1,1,1,1,1,0,49,44,0
RaketBagus,RaketBagus,1,0,1,0,0,0,0,49,44,0.002837
Rumah_Satria,Rumah_Satria,1,1,2,1,1,1,0,72,276,0.007158
ManualLens-e7y,ManualLens-e7y,3,2,5,1,1,1,0,72,276,0.016063
yuanfelix8464,yuanfelix8464,0,1,1,1,1,1,0,50,45,0
ahmadjayadi3017,ahmadjayadi3017,1,0,1,0,0,0,0,50,45,0.002837
allfeeanify,allfeeanify,1,0,1,0,0,0,0,308,276,0.002837
stardust8796,stardust8796,2,1,3,0,0,0,0,308,276,0.008176
Nadyakh20,Nadyakh20,0,2,2,1,1,1,0,308,276,0
Phrololo,Phrololo,0,1,1,1,1,1,0,51,46,0
PABLOescobar12361,PABLOescobar12361,1,0,1,0,0,0,0,51,46,0.002837
augur331,augur331,0,3,3,3,0.514286,0.564815,0,293,276,0
ViviSapi,ViviSapi,1,0,1,0,0,0,0,293,276,0.002837
AndraFebrian-h5f,AndraFebrian-h5f,0,3,3,1,1,1,0,185,276,0
mahjatinuramalina2759,mahjatinuramalina2759,1,0,1,0,0,0,0,185,276,0.002837
fajaristifari8847,fajaristifari8847,0,1,1,1,1,1,0,52,47,0
supermassiveblackhole666,supermassiveblackhole666,1,0,1,0,0,0,0,52,47,0.002837
vvram8464,vvram8464,0,1,1,2,0.666667,0.75,0,131,276,0
akarkreasi-Music,akarkreasi-Music,2,0,2,0,0,0,0,247,276,0.005674
undead6868,undead6868,0,1,1,1,1,1,0,53,48,0
NANASETIAWAN-b9u,NANASETIAWAN-b9u,1,0,1,0,0,0,0,53,48,0.002837
lyoutube7750,lyoutube7750,0,1,1,2,0.666667,0.75,0,131,276,0
palmtree_,palmtree_,0,2,2,1,1,1,0,54,49,0
D3ndi_Sunda,D3ndi_Sunda,1,0,1,0,0,0,0,54,49,0.002837
sarungwamidor6097,sarungwamidor6097,0,1,1,1,1,1,0,55,50,0
sahabatSejati-c7s7g,sahabatSejati-c7s7g,1,0,1,0,0,0,0,55,50,0.002837
MaMana-hw9ow,MaMana-hw9ow,0,1,1,1,1,1,0,56,51,0
REDSFAMS,REDSFAMS,1,0,1,0,0,0,0,56,51,0.002837
susanto8216,susanto8216,1,0,1,0,0,0,0,54,49,0.002837
animeglator4712,animeglator4712,1,1,2,0,0,0,0,57,52,0.004088
mailali3437,mailali3437,0,1,1,1,1,1,0,58,53,0
widiandfolks,widiandfolks,1,0,1,0,0,0,0,58,53,0.002837
halushopingid,halushopingid,0,2,2,1,1,1,0,59,54,0
riscoprasetyo,riscoprasetyo,1,0,1,0,0,0,0,59,54,0.002837
ZENNBOCAHAI,ZENNBOCAHAI,0,1,1,3,0.5,0.611111,0,38,276,0
Abrams4309,Abrams4309,1,1,2,2,0.666667,0.75,0,38,276,0.002837
axyr99,axyr99,0,3,3,3,0.53125,0.578431,0,85,276,0
AdrianoviFarouk,AdrianoviFarouk,1,0,1,0,0,0,0,85,276,0.002837
syh-o2r,syh-o2r,0,1,1,1,1,1,0,60,55,0
chicofunkid,chicofunkid,1,0,1,0,0,0,0,60,55,0.002837
1nwb-4dnws,1nwb-4dnws,1,4,5,2,0.571429,0.625,0,85,276,0.004088
Thomas_Anderson77,Thomas_Anderson77,0,2,2,1,1,1,0,61,56,0
tresnogibran2561,tresnogibran2561,1,0,1,0,0,0,0,61,56,0.002837
andree4081,andree4081,0,1,1,1,1,1,0,62,57,0
Amat_P,Amat_P,1,0,1,0,0,0,0,62,57,0.002837
ruuferu,ruuferu,1,12,13,3,0.55814,0.701389,0.000002,64,276,0.005608
renoroo25,renoroo25,1,0,1,0,0,0,0,64,276,0.00433
CoconutTVOfficial,CoconutTVOfficial,0,1,1,1,1,1,0,299,276,0
ferry,ferry,3,0,3,0,0,0,0,299,276,0.009762
Nesa_005-o1s,Nesa_005-o1s,1,0,1,0,0,0,0,61,56,0.002837
yzkykr,yzkykr,1,0,1,0,0,0,0,16,58,0.002837
lukasmaxi6144,lukasmaxi6144,1,0,1,0,0,0,0,308,276,0.002837
