Source,Target,Type,Id,Label,Weight
mastekno-2,mastekno-2,Directed,115,,1
mastekno-2,eternal_night212,Directed,116,,1
buyaumma,MuhaiminSag,Directed,117,,1
ZN4sution,MuhaiminSag,Directed,118,,1
eternal_night212,stanleydominix,Directed,119,,1
RioRiop,AprilApril-o7f,Directed,120,,1
LempasLempus,michael_official-y6t,Directed,121,,1
andikaprayogi6541,ufauuch9419,Directed,122,,1
ufauuch9419,ufauuch9419,Directed,123,,1
ufauuch9419,andikaprayogi6541mending,Directed,124,,1
rizalzepri,Bababubu774,Directed,125,,1
slukman4261,Ferry,Directed,126,,1
andikaprayogi6541,zleinade,Directed,127,,1
ClickBanget,zleinade,Directed,128,,1
ClickBanget,andikaprayogi6541emang,Directed,129,,1
ridwanridwan2656,Awesome-and-treesome,Directed,130,,1
Awesome-and-treesome,Awesome-and-treesome,Directed,131,,1
Awesome-and-treesome,ridwanridwan2656SANGAT,Directed,132,,1
mamameowbali,1nsanewayn3,Directed,133,,1
mamameowbali,nazwachanel1867,Directed,134,,1
mamameowbali,adeharlianpratama6854,Directed,135,,1
mamameowbali,AbuDaba-j2i,Directed,136,,1
ivansolo9311,iOS_Enthusiast,Directed,137,,1
mthoifaf,iOS_Enthusiast,Directed,138,,1
mthoifaf,ivansolo9311maklum,Directed,139,,1
nashibashi5786,biily138,Directed,140,,1
H1MIZU,biily138,Directed,141,,1
H1MIZU,nashibashi5786,Directed,142,,1
mamameowbali,biily138,Directed,143,,1
mahatidanaputra6809,SelfGrowth393,Directed,144,,1
mamameowbali,SelfGrowth393,Directed,145,,1
nashibashi5786,T.Abadi1899,Directed,146,,1
nashibashi5786,achmadyani5690,Directed,147,,1
mamameowbali,achmadyani5690,Directed,148,,1
nashibashi5786,DeviSopiandi-i7q,Directed,149,,1
nashibashi5786,17nurhidayat,Directed,150,,1
mamameowbali,17nurhidayat,Directed,151,,1
17nurhidayat,17nurhidayat,Directed,152,,1
17nurhidayat,nashibashi5786,Directed,153,,1
nashibashi5786,sogoals1929,Directed,154,,1
1nsanewayn3,sogoals1929,Directed,155,,1
1nsanewayn3,nashibashi5786ANJING,Directed,156,,1
mamameowbali,sogoals1929,Directed,157,,1
mamameowbali,harismoedjeni3145,Directed,158,,1
galangpw2617,17nurhidayat,Directed,159,,1
17nurhidayat,galangpw2617,Directed,160,,1
H1MIZU,17nurhidayat,Directed,161,,1
17nurhidayat,mamameowbaliOk,Directed,162,,1
nashibashi5786,JPCustomer,Directed,163,,1
mamameowbali,M.mahdii-k,Directed,164,,1
WijangWahyudi,imgoneforevernow,Directed,165,,1
eb1504,vainloriusgaming2872,Directed,166,,1
eb1504,diananggoromukti1490,Directed,167,,1
diananggoromukti1490,diananggoromukti1490,Directed,168,,1
eb1504,verifizasi,Directed,169,,1
ilhamrj2599,verifizasi,Directed,170,,1
verifizasi,verifizasi,Directed,171,,1
verifizasi,ilhamrj2599akun2,Directed,172,,1
eb1504,kanglieur3459,Directed,173,,1
ilhamrj2599,kanglieur3459,Directed,174,,1
kanglieur3459,kanglieur3459,Directed,175,,1
kanglieur3459,ilhamrj2599nah,Directed,176,,1
kanglieur3459,eb1504byk,Directed,177,,1
TutikDjanah,gabehutagalung3165,Directed,178,,1
kleberson777,autorename,Directed,179,,1
autorename,autorename,Directed,180,,1
autorename,kleberson777,Directed,181,,1
kalizoldyck,ronggosukmowijoyo7034,Directed,182,,1
VJ.155,ronggosukmowijoyo7034,Directed,183,,1
VJ.155,kalizoldyckemang,Directed,184,,1
FRHN-is4xw,ronggosukmowijoyo7034,Directed,185,,1
nyamuk9446,nyamuk9446,Directed,186,,1
AndhikaSeptianT,aisyahhumaira5081,Directed,187,,1
eb1504,TubagusHaryono,Directed,188,,1
eb1504,Locky1406,Directed,189,,1
rickylee5015,masterrbaiterr,Directed,190,,1
eb1504,masterrbaiterr,Directed,191,,1
ilhamrj2599,firmanhelian9980,Directed,192,,1
firmanhelian9980,firmanhelian9980,Directed,193,,1
firmanhelian9980,ilhamrj2599,Directed,194,,1
eb1504,firmanhelian9980,Directed,195,,1
benisurya1140,mukhlisraditya6225,Directed,196,,1
hendratrisna9083,mukhlisraditya6225,Directed,197,,1
widtaninmas,mukhlisraditya6225,Directed,198,,1
widtaninmas,benisurya1140,Directed,199,,1
bintangarmstrong224,mukhlisraditya6225,Directed,200,,1
miumiumiu-v3s,semsatria5578,Directed,201,,1
semsatria5578,semsatria5578,Directed,202,,1
semsatria5578,miumiumiu-v3s,Directed,203,,1
semsatria5578,miumiumiu-v3skita,Directed,204,,1
eb1504,woles_project9122,Directed,205,,1
woles_project9122,woles_project9122,Directed,206,,1
Enohx01,joejordy7711,Directed,207,,1
joejordy7711,joejordy7711,Directed,208,,1
joejordy7711,Enohx01udh,Directed,209,,1
Enohx01,AdrianLesmana-i1i,Directed,210,,1
Abdulmassoudhassani,AttarHalilintar-gr1hw,Directed,211,,1
SenjaRiani-q9z,bolangpantura,Directed,212,,1
bolangpantura,bolangpantura,Directed,213,,1
bolangpantura,SenjaRiani-q9zlogika,Directed,214,,1
siputgilagila,i.m-done,Directed,215,,1
saifulzaz,i.m-done,Directed,216,,1
saifulzaz,siputgilagilabiarin,Directed,217,,1
oktass6548,i.m-done,Directed,218,,1
siputgilagila,jandrylolong8437,Directed,219,,1
Enohx01,jandrylolong8437,Directed,220,,1
Enohx01,siputgilagilabiarin,Directed,221,,1
siputgilagila,sultanjawa17,Directed,222,,1
RDN0606,sultanjawa17,Directed,223,,1
Enohx01,brandenoctavino4295,Directed,224,,1
Enohx01,rahmatagung600,Directed,225,,1
Abdulmassoudhassani,rahmatagung600,Directed,226,,1
Abdulmassoudhassani,Enohx01udah,Directed,227,,1
RDN0606,SpirtusCodm,Directed,228,,1
Enohx01,baimbaim6464,Directed,229,,1
Abdulmassoudhassani,baimbaim6464,Directed,230,,1
marcelfauzah,marcelfauzah,Directed,231,,1
