dominant_topic,Anger (Marah),Fear (Takut),Happy (Senang),Love (Cinta/Suka),Sadness (Sedih)
1,58.7875076546234,8.266993263931415,21.187997550520514,0.5511328842620943,11.206368646662584
2,56.861848124428185,13.12900274473925,15.416285452881976,0.5032021957913998,14.089661482159194
3,46.13333333333333,11.200000000000001,30.666666666666664,0.8,11.200000000000001
4,53.917220990391726,9.312638580931264,26.201034737620105,0.29563932002956395,10.273466371027347
5,26.17960426179604,6.963470319634703,56.16438356164384,3.1963470319634704,7.496194824961948
